pol_0,pol_1,val_0,val_1
0,0,3331.9327378110524,3331.9327378110524
0,0,3339.3970603021003,3339.3970603021003
0,0,3346.960722965778,3346.960722965778
0,0,3354.6236078679694,3354.6236078679694
0,0,3362.3855870147013,3362.3855870147013
0,0,3370.2465233818602,3370.2465233818602
0,0,3378.2062719465607,3378.2062719465607
0,0,3386.264680717801,3386.264680717801
0,0,3394.42159176447,3394.42159176447
0,0,3402.6768422388823,3402.6768422388823
0,0,3411.030265393255,3411.030265393255
0,0,3419.481691587996,3419.481691587996
0,0,3428.0309492892156,3428.0309492892156
0,0,3436.6778660544533,3436.6778660544533
0,0,3445.422269504187,3445.422269504187
0,0,3454.263988278204,3454.263988278204
0,0,3463.202852974933,3463.202852974933
0,0,3472.238697072294,3472.238697072294
0,0,3481.3713578291467,3481.3713578291467
0,0,3490.6006771656603,3490.6006771656603
0,0,3499.9265025216837,3499.9265025216837
0,0,3509.348687692049,3509.348687692049
0,0,3518.867093638007,3518.867093638007
0,0,3528.4815892735646,3528.4815892735646
0,0,3538.1920522264986,3538.1920522264986
0,0,3547.998369572952,3547.998369572952
0,0,3557.9004385453154,3557.9004385453154
0,0,3567.898167212885,3567.898167212885
0,0,3577.9914751348374,3577.9914751348374
0,0,3588.1802939853624,3588.1802939853624
0,0,3598.464568150707,3598.464568150707
0,0,3608.844255298034,3608.844255298034
0,0,3619.3193269160893,3619.3193269160893
0,0,3629.8897688277843,3629.8897688277843
0,0,3640.5555816746282,3640.5555816746282
0,0,3651.3167813736063,3651.3167813736063
0,0,3662.173399546367,3662.173399546367
0,0,3673.125483921436,3673.125483921436
0,0,3684.173098709499,3684.173098709499
0,0,3695.316324952679,3695.316324952679
0,0,3706.555260847882,3706.555260847882
0,0,3717.8900220451555,3717.8900220451555
0,0,3729.3207419214204,3729.3207419214204
0,0,3740.8475718305813,3740.8475718305813
0,0,3752.4706813301664,3752.4706813301664
0,0,3764.1902583860083,3764.1902583860083
0,0,3776.0065095550635,3776.0065095550635
0,0,3787.9196601475464,3787.9196601475464
0,0,3799.929954369196,3799.929954369196
0,0,3812.0376554443415,3812.0376554443415
0,0,3824.243045720918,3824.243045720918
0,0,3836.5464267578823,3836.5464267578823
0,0,3848.9481193966403,3848.9481193966403
0,0,3861.4484638164818,3861.4484638164818
0,0,3874.0478195757237,3874.0478195757237
0,0,3886.7465656390013,3886.7465656390013
0,0,3899.5451003917983,3899.5451003917983
0,0,3912.4438416429616,3912.4438416429616
0,0,3925.443226616407,3925.443226616407
0,0,3938.5437119324074,3938.5437119324074
0,0,3951.7457735798525,3951.7457735798525
0,0,3965.0499068798536,3965.0499068798536
0,0,3978.4566264419486,3978.4566264419486
0,0,3991.9664661134257,3991.9664661134257
0,0,4005.579978922625,4005.579978922625
0,0,4019.2977370171607,4019.2977370171607
0,0,4033.120331597587,4033.120331597587
0,0,4047.0483728473273,4047.0483728473273
0,0,4061.082489859621,4061.082489859621
0,0,4075.2233305621294,4075.2233305621294
0,0,4089.471561639705,4089.471561639705
0,0,4103.8278684563165,4103.8278684563165
0,0,4118.292954976264,4118.292954976264
0,0,4132.867543685575,4132.867543685575
0,0,4147.552375513943,4147.552375513943
0,0,4162.3482097580745,4162.3482097580745
0,0,4177.255824006132,4177.255824006132
0,0,4192.276014064872,4192.276014064872
0,0,4207.409593888695,4207.409593888695
0,0,4222.657395512096,4222.657395512096
0,0,4238.020268985067,4238.020268985067
0,0,4253.499082312205,4253.499082312205
0,0,4269.094721395931,4269.094721395931
0,0,4284.808089983676,4284.808089983676
0,0,4300.640109619865,4300.640109619865
0,0,4316.591719602601,4316.591719602601
0,0,4332.66387694521,4332.66387694521
0,0,4348.857556343194,4348.857556343194
0,0,4365.173750146543,4365.173750146543
0,0,4381.6134683375685,4381.6134683375685
0,0,4398.177738514445,4398.177738514445
0,0,4414.867605880716,4414.867605880716
0,0,4431.684133240663,4431.684133240663
0,0,4448.628401000787,4448.628401000787
0,0,4465.701507177378,4465.701507177378
0,0,4482.904567410371,4482.904567410371
0,0,4500.238714983362,4500.238714983362
0,0,4517.705100850129,4517.705100850129
0,0,4535.304893667255,4535.304893667255
0,0,4553.03927983319,4553.03927983319
0,0,4570.9094635337915,4570.9094635337915
0,0,4588.916666794036,4588.916666794036
0,0,4607.062129536333,4607.062129536333
0,0,4625.347109644868,4625.347109644868
0,0,4643.772883036563,4643.772883036563
0,0,4662.340743738024,4662.340743738024
0,0,4681.052003969192,4681.052003969192
0,0,4699.907994232675,4699.907994232675
0,0,4718.910063409699,4718.910063409699
0,0,4738.059578861863,4738.059578861863
0,0,4757.357926539221,4757.357926539221
0,0,4776.806511094261,4776.806511094261
0,0,4796.406756001942,4796.406756001942
0,0,4816.160103685474,4816.160103685474
0,0,4836.068015648272,4836.068015648272
0,0,4856.131972611408,4856.131972611408
0,0,4876.353474657031,4876.353474657031
0,0,4896.734041377422,4896.734041377422
