pol_0,pol_1,val_0,val_1
0,0,28942.897520396917,28942.897520396917
0,0,28959.50703035404,28959.50703035404
0,0,28976.323229358874,28976.323229358874
0,0,28993.345255660013,28993.345255660013
0,0,29010.572217987592,29010.572217987592
0,0,29028.003198028622,29028.003198028622
0,0,29045.63725290381,29045.63725290381
0,0,29063.473417640944,29063.473417640944
0,0,29081.51070763847,29081.51070763847
0,0,29099.74812111769,29099.74812111769
0,0,29118.1846415533,29118.1846415533
0,0,29136.81924008399,29136.81924008399
0,0,29155.650877893124,29155.650877893124
0,0,29174.678508559486,29174.678508559486
0,0,29193.901080370073,29193.901080370073
0,0,29213.317538595125,29213.317538595125
0,0,29232.9268277186,29232.9268277186
0,0,29252.727893621963,29252.727893621963
0,0,29272.71968571832,29272.71968571832
0,0,29292.90115903355,29292.90115903355
0,0,29313.2712762309,29313.2712762309
0,0,29333.829009578832,29333.829009578832
0,0,29354.573342856613,29354.573342856613
0,0,29375.503273199058,29375.503273199058
0,0,29396.617812875396,29396.617812875396
0,0,29417.915991003618,29417.915991003618
0,0,29439.39685519684,29439.39685519684
0,0,29461.059473141024,29461.059473141024
0,0,29482.9029341047,29482.9029341047
0,0,29504.92635037752,29504.92635037752
0,0,29527.128858639495,29527.128858639495
0,0,29549.50962125907,29549.50962125907
0,0,29572.0678275208,29572.0678275208
0,0,29594.80269478332,29594.80269478332
0,0,29617.713469565733,29617.713469565733
0,0,29640.799428566213,29640.799428566213
0,0,29664.059879610904,29664.059879610904
0,0,29687.494162534793,29687.494162534793
0,0,29711.101649996308,29711.101649996308
0,0,29734.881748225067,29734.881748225067
0,0,29758.833897707,29758.833897707
0,0,29782.957573804488,29782.957573804488
0,0,29807.25228731611,29807.25228731611
0,0,29831.717584976348,29831.717584976348
0,0,29856.353049897334,29856.353049897334
0,0,29881.15830195426,29881.15830195426
0,0,29906.132998115954,29906.132998115954
0,0,29931.276832724176,29931.276832724176
0,0,29956.589537720974,29956.589537720974
0,0,29982.07088282962,29982.07088282962
0,0,30007.720675687848,30007.720675687848
0,0,30033.538761937856,30033.538761937856
0,0,30059.525025274164,30059.525025274164
0,0,30085.67938745233,30085.67938745233
0,0,30112.001808259614,30112.001808259614
0,0,30138.49228545043,30138.49228545043
0,0,30165.150854649524,30165.150854649524
0,0,30191.9775892229,30191.9775892229
0,0,30218.972600121215,30218.972600121215
0,0,30246.13603569614,30246.13603569614
0,0,30273.468081492298,30273.468081492298
0,0,30300.968960015634,30300.968960015634
0,0,30328.638930483416,30328.638930483416
0,0,30356.47828855424,30356.47828855424
0,0,30384.487366041478,30384.487366041478
0,0,30412.66653061297,30412.66653061297
0,0,30441.01618547667,30441.01618547667
0,0,30469.536769056653,30469.536769056653
0,0,30498.22875465744,30498.22875465744
0,0,30527.092650122828,30527.092650122828
0,0,30556.128997487143,30556.128997487143
0,0,30585.33837262178,30585.33837262178
0,0,30614.721384878878,30614.721384878878
0,0,30644.278676733073,30644.278676733073
